temperature_k,temperature_uncertainty_k,pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom
1740,100,58.7,0.6,77.31,0.04,4.165,0.003,4.609,0.003,4.027,0.009
1748,100,65.5,0.6,75.81,0.07,4.127,0.005,4.582,0.005,4.009,0.009
1785,100,65.7,0.6,75.83,0.06,4.127,0.004,4.581,0.005,4.010,0.009
1790,100,65.8,0.6,75.85,0.06,4.127,0.004,4.582,0.005,4.011,0.009
1792,100,58.5,0.6,77.27,0.05,4.168,0.003,4.612,0.004,4.020,0.009
1798,100,70.6,0.6,74.68,0.04,4.105,0.001,4.566,0.004,3.985,0.004
1813,100,74.7,0.7,73.74,0.02,4.080,0.001,4.555,0.001,3.968,0.003
1814,100,62.1,0.6,76.67,0.02,4.153,0.001,4.595,0.001,4.017,0.004
1816,100,65.9,0.6,75.85,0.06,4.127,0.004,4.581,0.005,4.012,0.009
1819,100,66.0,0.6,75.87,0.07,4.127,0.005,4.581,0.005,4.013,0.009
1820,100,74.8,0.7,73.78,0.01,4.082,0.001,4.554,0.001,3.969,0.003
1824,100,62.8,0.6,76.72,0.03,4.147,0.002,4.601,0.002,4.021,0.006
1832,100,75.0,0.7,73.77,0.03,4.083,0.003,4.554,0.003,3.967,0.008
1835,100,63.0,0.6,76.51,0.05,4.147,0.004,4.597,0.004,4.013,0.009
1840,100,66.4,0.6,75.82,0.07,4.126,0.005,4.581,0.005,4.012,0.009
1866,100,62.8,0.6,76.61,0.04,4.150,0.003,4.598,0.003,4.015,0.008
1873,100,65.9,0.6,75.87,0.07,4.128,0.005,4.583,0.006,4.011,0.009
1897,100,71.1,0.6,74.54,0.04,4.105,0.001,4.567,0.001,3.976,0.002
1937,100,63.4,0.6,76.75,0.03,4.147,0.002,4.601,0.003,4.023,0.007
