source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1300.0,51.0,4.28140181442161
Table S4,1300.0,52.0,4.62402265556008
Table S4,1300.0,53.0,4.96535629536721
Table S4,1300.0,54.0,5.3054203089939
Table S4,1300.0,55.0,5.64423183733958
Table S4,1300.0,56.0,5.98180760258494
Table S4,1300.0,57.0,6.31816392300219
Table S4,1300.0,58.0,6.65331672708357
Table S4,1300.0,59.0,6.98728156702681
Table S4,1300.0,60.0,7.32007363161299
Table S4,1300.0,61.0,7.65170775851044
Table S4,1300.0,62.0,7.98219844603593
Table S4,1300.0,63.0,8.31155986440248
Table S4,1300.0,64.0,8.6398058664811
Table S4,1300.0,65.0,8.96694999810235
Table S4,1300.0,66.0,9.29300550792178
Table S4,1300.0,67.0,9.61798535687176
Table S4,1300.0,68.0,9.94190222722116
Table S4,1300.0,69.0,10.2647685312626
Table S4,1300.0,70.0,10.5865964196466
Table S4,1300.0,71.0,10.9073977893791
Table S4,1300.0,72.0,11.2271842915004
Table S4,1300.0,73.0,11.5459673384603
Table S4,1300.0,74.0,11.8637581112043
Table S4,1300.0,75.0,12.180567565985
Table S4,1300.0,76.0,12.4964064409114
Table S4,1300.0,77.0,12.811285262249
Table S4,1300.0,78.0,13.1252143504821
Table S4,1300.0,79.0,13.4382038261488
Table S4,1300.0,80.0,13.7502636154605
Table S4,1300.0,81.0,14.0614034557147
Table S4,1300.0,82.0,14.37163290051
Table S4,1300.0,83.0,14.6809613247737
Table S4,1300.0,84.0,14.9893979296089
Table S4,1300.0,85.0,15.29695174697
Table S4,1300.0,86.0,15.6036316441735
Table S4,1300.0,87.0,15.909446328251
Table S4,1300.0,88.0,16.2144043501528
Table S4,1300.0,89.0,16.518514108806
Table S4,1300.0,90.0,16.8217838550352
Table S4,1300.0,91.0,17.1242216953508
Table S4,1300.0,92.0,17.4258355956105
Table S4,1300.0,93.0,17.7266333845592
Table S4,1300.0,94.0,18.0266227572521
Table S4,1300.0,95.0,18.3258112783662
Table S4,1300.0,96.0,18.6242063854047
Table S4,1300.0,97.0,18.9218153917972
Table S4,1300.0,98.0,19.2186454899027
Table S4,1300.0,99.0,19.5147037539156
Table S4,1300.0,100.0,19.8099971426818
Table S4,1400.0,0.0,-13.5587085794163
Table S4,1400.0,1.0,-13.1666787065328
Table S4,1400.0,2.0,-12.7763539147047
Table S4,1400.0,3.0,-12.3878251435762
Table S4,1400.0,4.0,-12.0011547517135
Table S4,1400.0,5.0,-11.6163837792041
Table S4,1400.0,6.0,-11.2335371968794
Table S4,1400.0,7.0,-10.8526277633278
Table S4,1400.0,8.0,-10.4736588999089
Table S4,1400.0,9.0,-10.0966268607417
Table S4,1400.0,10.0,-9.7215223884636
Table S4,1400.0,11.0,-9.34833198960391
Table S4,1400.0,12.0,-8.97703892501344
Table S4,1400.0,13.0,-8.60762398442722
Table S4,1400.0,14.0,-8.24006609583169
Table S4,1400.0,15.0,-7.87434280726256
Table S4,1400.0,16.0,-7.51043066928395
Table S4,1400.0,17.0,-7.1483055395756
Table S4,1400.0,18.0,-6.78794282602905
Table S4,1400.0,19.0,-6.4293176810136
Table S4,1400.0,20.0,-6.07240515666058
Table S4,1400.0,21.0,-5.7171803288816
Table S4,1400.0,22.0,-5.36361839620495
Table S4,1400.0,23.0,-5.01169475825602
Table S4,1400.0,24.0,-4.66138507773132
Table S4,1400.0,25.0,-4.31266532895165
Table S4,1400.0,26.0,-3.96054939535461
Table S4,1400.0,27.0,-3.60516100013238
Table S4,1400.0,28.0,-3.25158043054547
Table S4,1400.0,29.0,-2.8997730524561
Table S4,1400.0,30.0,-2.54970542498458
Table S4,1400.0,31.0,-2.20134524238826
Table S4,1400.0,32.0,-1.85466127946849
Table S4,1400.0,33.0,-1.50962334026347
Table S4,1400.0,34.0,-1.16620220980134
Table S4,1400.0,35.0,-0.824369608703966
Table S4,1400.0,36.0,-0.484098150446186
Table S4,1400.0,37.0,-0.145361301090039
Table S4,1400.0,38.0,0.191866658673843
Table S4,1400.0,39.0,0.527610669332993
Table S4,1400.0,40.0,0.861894926351821
Table S4,1400.0,41.0,1.19474291209569
Table S4,1400.0,42.0,1.52617742600373
Table S4,1400.0,43.0,1.85622061312481
Table S4,1400.0,44.0,2.18489399112275
Table S4,1400.0,45.0,2.51221847584883
Table S4,1400.0,46.0,2.83821440557295
Table S4,1400.0,47.0,3.16290156395777
Table S4,1400.0,48.0,3.48629920185441
Table S4,1400.0,49.0,3.80842605799251
Table S4,1400.0,50.0,4.12930037863233
Table S4,1400.0,51.0,4.44893993624185
Table S4,1400.0,52.0,4.76736204725739
Table S4,1400.0,53.0,5.08458358898222
Table S4,1400.0,54.0,5.40062101567388
Table S4,1400.0,55.0,5.71549037386751
Table S4,1400.0,56.0,6.02920731697929
Table S4,1400.0,57.0,6.34178711923104
Table S4,1400.0,58.0,6.65324468893446
Table S4,1400.0,59.0,6.96359458117082
Table S4,1400.0,60.0,7.2728510098997
Table S4,1400.0,61.0,7.58102785952798
Table S4,1400.0,62.0,7.88813869596863
Table S4,1400.0,63.0,8.19419677721666
Table S4,1400.0,64.0,8.49921506346791
Table S4,1400.0,65.0,8.80320622680508
Table S4,1400.0,66.0,9.10618266047328
Table S4,1400.0,67.0,9.40815648776677
Table S4,1400.0,68.0,9.70913957054648
Table S4,1400.0,69.0,10.0091435174073
Table S4,1400.0,70.0,10.3081796915127
Table S4,1400.0,71.0,10.6062592181136
Table S4,1400.0,72.0,10.9033929917662
Table S4,1400.0,73.0,11.1995916832645
Table S4,1400.0,74.0,11.4948657463014
Table S4,1400.0,75.0,11.7892254238699
Table S4,1400.0,76.0,12.0826807544194
Table S4,1400.0,77.0,12.3752415777757
Table S4,1400.0,78.0,12.6669175408383
Table S4,1400.0,79.0,12.9577181030639
Table S4,1400.0,80.0,13.2476525417462
Table S4,1400.0,81.0,13.536729957102
Table S4,1400.0,82.0,13.8249592771706
Table S4,1400.0,83.0,14.1123492625377
Table S4,1400.0,84.0,14.3989085108883
Table S4,1400.0,85.0,14.6846454613992
Table S4,1400.0,86.0,14.9695683989756
Table S4,1400.0,87.0,15.2536854583401
Table S4,1400.0,88.0,15.5370046279803
Table S4,1400.0,89.0,15.8195337539604
Table S4,1400.0,90.0,16.1012805436026
Table S4,1400.0,91.0,16.3822525690449
Table S4,1400.0,92.0,16.6624572706787
Table S4,1400.0,93.0,16.9419019604725
Table S4,1400.0,94.0,17.220593825186
Table S4,1400.0,95.0,17.4985399294787
Table S4,1400.0,96.0,17.7757472189176
Table S4,1400.0,97.0,18.0522225228884
Table S4,1400.0,98.0,18.3279725574127
Table S4,1400.0,99.0,18.6030039278766
Table S4,1400.0,100.0,18.8773231316733
Table S4,1500.0,0.0,-12.2173652829335
Table S4,1500.0,1.0,-11.8514058740663
Table S4,1500.0,2.0,-11.4868948520093
Table S4,1500.0,3.0,-11.1239498932648
Table S4,1500.0,4.0,-10.7626538597089
Table S4,1500.0,5.0,-10.40306389778
Table S4,1500.0,6.0,-10.0452179084118
Table S4,1500.0,7.0,-9.6891392366958
Table S4,1500.0,8.0,-9.33484012802813
