compression_ambient,temperature_k,pressure_gpa,source_table
0.37,300,202.54,II
0.37,500,203.24,II
0.37,1000,206.10,II
0.37,1500,209.47,II
0.37,2000,212.99,II
0.37,2500,216.57,II
0.37,3000,220.19,II
0.37,3500,223.82,II
0.37,4000,227.47,II
0.38,300,216.47,II
0.38,500,217.16,II
0.38,1000,220.02,II
0.38,1500,223.40,II
0.38,2000,226.94,II
0.38,2500,230.55,II
0.38,3000,234.19,II
0.38,3500,237.86,II
0.38,4000,241.53,II
0.39,300,231.31,II
0.39,500,231.99,II
0.39,1000,234.84,II
0.39,1500,238.24,II
0.39,2000,241.81,II
0.39,2500,245.44,II
0.39,3000,249.11,II
0.39,3500,252.80,II
0.39,4000,256.50,II
0.40,300,247.12,II
0.40,500,247.79,II
0.40,1000,250.64,II
0.40,1500,254.06,II
0.40,2000,257.65,II
0.40,2500,261.31,II
0.40,3000,265.01,II
0.40,3500,268.73,II
0.40,4000,272.46,II
0.41,300,263.98,II
0.41,500,264.64,II
0.41,1000,267.50,II
0.41,1500,270.93,II
0.41,2000,274.54,II
0.41,2500,278.23,II
0.41,3000,281.96,II
0.41,3500,285.71,II
0.41,4000,289.47,II
0.42,300,281.97,II
0.42,500,282.62,II
0.42,1000,285.48,II
0.42,1500,288.93,II
0.42,2000,292.57,II
0.42,2500,296.29,II
0.42,3000,300.04,II
0.42,3500,303.82,II
0.42,4000,307.62,II
0.43,300,301.18,II
0.43,500,301.82,II
0.43,1000,304.68,II
0.43,1500,308.15,II
0.43,2000,311.81,II
0.43,2500,315.56,II
0.43,3000,319.35,II
0.43,3500,323.16,II
0.43,4000,326.99,II
0.44,300,321.70,II
0.44,500,322.33,II
0.44,1000,325.19,II
0.44,1500,328.68,II
0.44,2000,332.37,II
0.44,2500,336.15,II
0.44,3000,339.96,II
0.44,3500,343.82,II
0.44,4000,347.69,II
0.02,4500,30.66,III
0.02,5000,34.06,III
0.02,5500,37.47,III
0.02,6000,40.87,III
0.02,6500,44.28,III
0.02,7000,47.69,III
0.02,7500,51.10,III
0.02,8000,54.51,III
0.02,8500,57.91,III
0.04,4500,34.23,III
0.04,5000,37.61,III
0.04,5500,40.99,III
0.04,6000,44.37,III
0.04,6500,47.75,III
0.04,7000,51.13,III
0.04,7500,54.51,III
0.04,8000,57.90,III
0.04,8500,61.27,III
0.06,4500,38.31,III
0.06,5000,41.67,III
0.06,5500,45.03,III
0.06,6000,48.38,III
0.06,6500,51.74,III
0.06,7000,55.10,III
0.06,7500,58.47,III
0.06,8000,61.83,III
0.06,8500,65.19,III
0.08,4500,42.94,III
0.08,5000,46.28,III
0.08,5500,49.63,III
0.08,6000,52.97,III
0.08,6500,56.32,III
0.08,7000,59.66,III
0.08,7500,63.01,III
0.08,8000,66.36,III
0.08,8500,69.71,III
0.10,4500,48.18,III
0.10,5000,51.51,III
0.10,5500,54.84,III
0.10,6000,58.18,III
0.10,6500,61.52,III
0.10,7000,64.85,III
0.10,7500,68.19,III
0.10,8000,71.53,III
0.10,8500,74.87,III
0.12,4500,54.08,III
0.12,5000,57.41,III
0.12,5500,60.74,III
0.12,6000,64.07,III
0.12,6500,67.41,III
0.12,7000,70.74,III
0.12,7500,74.08,III
0.12,8000,77.41,III
0.12,8500,80.75,III
0.14,4500,60.72,III
0.14,5000,64.05,III
0.14,5500,67.38,III
0.14,6000,70.72,III
0.14,6500,74.05,III
0.14,7000,77.39,III
0.14,7500,80.72,III
0.14,8000,84.06,III
0.14,8500,87.40,III
0.16,4500,68.18,III
0.16,5000,71.52,III
0.16,5500,74.86,III
0.16,6000,78.20,III
0.16,6500,81.54,III
0.16,7000,84.88,III
0.16,7500,88.23,III
0.16,8000,91.57,III
0.16,8500,94.91,III
0.18,4500,76.56,III
0.18,5000,79.91,III
0.18,5500,83.26,III
0.18,6000,86.61,III
0.18,6500,89.96,III
0.18,7000,93.32,III
0.18,7500,96.67,III
0.18,8000,100.02,III
0.18,8500,103.38,III
0.20,4500,85.97,III
0.20,5000,89.33,III
0.20,5500,92.69,III
0.20,6000,96.06,III
0.20,6500,99.43,III
0.20,7000,102.80,III
0.20,7500,106.16,III
0.20,8000,109.54,III
0.20,8500,112.91,III
0.21,4500,91.09,III
0.21,5000,94.46,III
0.21,5500,97.83,III
0.21,6000,101.21,III
0.21,6500,104.59,III
0.21,7000,107.97,III
0.21,7500,111.35,III
0.21,8000,114.72,III
0.21,8500,118.10,III
0.22,4500,96.52,III
0.22,5000,99.90,III
0.22,5500,103.28,III
0.22,6000,106.67,III
0.22,6500,110.06,III
0.22,7000,113.45,III
0.22,7500,116.84,III
0.22,8000,120.22,III
0.22,8500,123.62,III
0.23,4500,102.27,III
0.23,5000,105.66,III
0.23,5500,109.06,III
0.23,6000,112.46,III
0.23,6500,115.85,III
0.23,7000,119.25,III
0.23,7500,122.65,III
0.23,8000,126.06,III
0.23,8500,129.46,III
0.24,4500,108.36,III
0.24,5000,111.77,III
0.24,5500,115.18,III
0.24,6000,118.59,III
0.24,6500,122.00,III
0.24,7000,125.41,III
0.24,7500,128.82,III
0.24,8000,132.24,III
0.24,8500,135.65,III
0.25,4500,114.82,III
0.25,5000,118.24,III
0.25,5500,121.66,III
0.25,6000,125.08,III
0.25,6500,128.51,III
0.25,7000,131.93,III
0.25,7500,135.36,III
0.25,8000,138.79,III
0.25,8500,142.22,III
0.26,4500,121.67,III
0.26,5000,125.10,III
0.26,5500,128.53,III
0.26,6000,131.97,III
0.26,6500,135.41,III
0.26,7000,138.85,III
0.26,7500,142.29,III
0.26,8000,145.73,III
0.26,8500,149.18,III
0.27,4500,128.92,III
0.27,5000,132.37,III
0.27,5500,135.82,III
0.27,6000,139.27,III
0.27,6500,142.73,III
0.27,7000,146.18,III
0.27,7500,149.64,III
0.27,8000,153.10,III
0.27,8500,156.56,III
0.28,4500,136.62,III
0.28,5000,140.08,III
0.28,5500,143.55,III
0.28,6000,147.02,III
0.28,6500,150.49,III
0.28,7000,153.96,III
0.28,7500,157.43,III
0.28,8000,160.91,III
0.28,8500,164.38,III
0.29,4500,144.78,III
0.29,5000,148.26,III
0.29,5500,151.74,III
0.29,6000,155.23,III
0.29,6500,158.72,III
0.29,7000,162.21,III
0.29,7500,165.70,III
0.29,8000,169.19,III
0.29,8500,172.69,III
0.30,4500,153.44,III
0.30,5000,156.94,III
0.30,5500,160.44,III
0.30,6000,163.94,III
0.30,6500,167.45,III
0.30,7000,170.96,III
0.30,7500,174.47,III
0.30,8000,177.98,III
0.30,8500,181.49,III
0.31,4500,162.63,III
0.31,5000,166.14,III
0.31,5500,169.67,III
0.31,6000,173.19,III
0.31,6500,176.72,III
0.31,7000,180.25,III
0.31,7500,183.78,III
0.31,8000,187.31,III
0.31,8500,190.84,III
0.32,4500,172.38,III
0.32,5000,175.92,III
0.32,5500,179.46,III
0.32,6000,183.01,III
0.32,6500,186.56,III
0.32,7000,190.11,III
0.32,7500,193.66,III
0.32,8000,197.21,III
0.32,8500,200.76,III
0.33,4500,182.74,III
0.33,5000,186.30,III
0.33,5500,189.87,III
0.33,6000,193.44,III
0.33,6500,197.01,III
0.33,7000,200.58,III
0.33,7500,204.15,III
0.33,8000,207.73,III
0.33,8500,211.30,III
0.34,4500,193.75,III
0.34,5000,197.33,III
0.34,5500,200.92,III
0.34,6000,204.51,III
0.34,6500,208.11,III
0.34,7000,211.70,III
0.34,7500,215.30,III
0.34,8000,218.90,III
0.34,8500,222.49,III
0.35,4500,205.45,III
0.35,5000,209.06,III
0.35,5500,212.67,III
0.35,6000,216.29,III
0.35,6500,219.90,III
0.35,7000,223.52,III
0.35,7500,227.14,III
0.35,8000,230.77,III
0.35,8500,234.39,III
0.36,4500,217.89,III
0.36,5000,221.52,III
0.36,5500,225.16,III
0.36,6000,228.80,III
0.36,6500,232.44,III
0.36,7000,236.09,III
0.36,7500,239.74,III
0.36,8000,243.38,III
0.36,8500,247.03,III
0.37,4500,231.12,III
0.37,5000,234.79,III
0.37,5500,238.45,III
0.37,6000,242.12,III
0.37,6500,245.79,III
0.37,7000,249.46,III
0.37,7500,253.13,III
0.37,8000,256.81,III
0.37,8500,260.48,III
0.38,4500,245.21,III
0.38,5000,248.90,III
0.38,5500,252.59,III
0.38,6000,256.29,III
0.38,6500,259.99,III
0.38,7000,263.69,III
0.38,7500,267.39,III
0.38,8000,271.09,III
0.38,8500,274.80,III
0.39,4500,260.21,III
0.39,5000,263.93,III
0.39,5500,267.65,III
0.39,6000,271.38,III
0.39,6500,275.11,III
0.39,7000,278.86,III
0.39,7500,282.57,III
0.39,8000,286.30,III
0.39,8500,290.03,III
0.40,4500,276.20,III
0.40,5000,279.95,III
0.40,5500,283.70,III
0.40,6000,287.46,III
0.40,6500,291.21,III
0.40,7000,294.97,III
0.40,7500,298.74,III
0.40,8000,302.50,III
0.40,8500,306.26,III
0.41,4500,293.24,III
0.41,5000,297.02,III
0.41,5500,300.81,III
0.41,6000,304.59,III
0.41,6500,308.38,III
0.41,7000,312.18,III
0.41,7500,315.97,III
0.41,8000,319.77,III
0.41,8500,323.56,III
0.42,4500,311.42,III
0.42,5000,315.24,III
0.42,5500,319.05,III
0.42,6000,322.87,III
0.42,6500,326.70,III
0.42,7000,330.52,III
0.42,7500,334.35,III
0.42,8000,338.18,III
0.42,8500,342.01,III
