source_line,temperature_k,pressure_gpa,pressure_sigma_gpa,mg_perovskite_volume_a3,mg_perovskite_volume_sigma_a3,ferropericlase_volume_a3,ferropericlase_volume_sigma_a3,ca_perovskite_volume_a3,ca_perovskite_volume_sigma_a3,pressure_medium_volume_a3,pressure_medium_volume_sigma_a3,pressure_medium_volume_2_a3,pressure_medium_volume_2_sigma_a3,gold_volume_a3,gold_volume_sigma_a3
133,1516,91.88,1.25,131.684,0.051,56.165,0.064,36.584,0.031,27.388,0.116,,,53.126,0.006
134,1411,91.61,1.25,131.541,0.041,56.110,0.055,36.555,0.027,27.439,0.081,,,53.075,0.007
135,300,85.85,0.11,130.909,0.044,55.625,0.050,36.442,0.052,27.072,0.064,,,52.810,0.009
136,1555,94.57,1.27,131.531,0.033,55.896,0.051,36.541,0.021,27.538,0.040,,,52.908,0.008
137,1632,94.91,1.29,131.611,0.038,55.946,0.054,36.564,0.027,27.693,0.028,,,52.933,0.009
138,1727,95.76,1.28,131.727,0.029,56.095,0.051,36.566,0.021,27.749,0.029,,,52.924,0.009
139,1833,95.57,1.28,131.844,0.033,56.215,0.054,36.609,0.024,27.855,0.024,,,53.017,0.008
140,1956,96.09,1.33,131.914,0.033,56.335,0.059,36.641,0.031,27.893,0.037,,,53.058,0.013
141,2071,95.92,1.31,132.131,0.033,56.512,0.067,36.676,0.031,27.784,0.033,,,53.157,0.012
142,2130,95.56,1.30,132.240,0.033,56.663,0.045,36.694,0.025,27.834,0.028,,,53.233,0.011
143,2153,94.91,1.36,132.214,0.042,56.297,0.063,36.715,0.029,27.776,0.026,,,53.311,0.017
144,2494,97.01,1.38,132.554,0.042,56.552,0.068,36.768,0.028,27.849,0.036,,,53.366,0.018
145,2377,95.56,1.31,132.490,0.032,56.481,0.058,36.757,0.022,27.908,0.025,,,53.416,0.012
146,300,84.96,0.15,131.087,0.038,55.847,0.064,36.338,0.056,27.320,0.016,,,52.890,0.013
148,2220,105.90,1.23,129.437,0.115,55.245,0.152,35.837,0.351,26.313,0.010,,,52.376,0.004
152,1740,109.64,1.36,128.391,0.037,54.362,0.032,35.610,0.079,20.655,0.004,,,51.753,0.013
153,1846,109.96,1.35,128.446,0.038,54.418,0.031,35.600,0.085,20.658,0.004,,,51.794,0.013
154,1883,109.40,1.37,128.621,0.046,54.425,0.042,35.693,0.081,20.677,0.004,,,51.864,0.014
155,1679,107.90,1.35,128.561,0.041,54.448,0.036,35.650,0.059,20.676,0.004,,,51.854,0.012
156,2280,110.46,1.36,128.836,0.039,54.616,0.035,35.827,0.065,20.706,0.005,,,52.034,0.014
157,2176,109.70,1.35,128.854,0.050,54.587,0.039,35.835,0.097,20.717,0.005,,,52.029,0.013
158,2009,108.15,1.35,128.817,0.042,54.540,0.033,35.756,0.077,20.705,0.005,,,52.048,0.012
159,2569,110.51,1.43,128.754,0.032,54.594,0.039,35.888,0.029,20.742,0.005,,,52.221,0.020
160,2509,109.06,1.46,128.980,0.047,54.696,0.070,35.694,0.074,20.768,0.006,,,52.303,0.023
161,300,96.11,0.21,128.275,0.061,54.166,0.057,35.552,0.106,20.746,0.006,,,51.930,0.017
162,1992,109.76,1.38,128.573,0.057,54.478,0.021,35.718,0.069,20.712,0.004,,,51.904,0.015
