table,source_row,run,pressure_sequence,temperature_k,unit_cell_volume_a3,unit_cell_volume_printed_uncertainty_a3,nacl_lattice_a_angstrom,au_lattice_a_angstrom,mgo_lattice_a_angstrom,pressure_nd1_gpa,pressure_nb1_gpa,pressure_aj1_gpa,pressure_ah1_gpa,pressure_aa1_gpa,pressure_mj2_gpa,pressure_ms2_gpa,normalization_volume_a3,fit_included,exclusion_reason
4a,21,1,selected_nd1,700,151.10,0.15,4.9649,3.9472,,24.21,23.92,24.86,24.07,23.81,,,162.32,1,
4a,22,1,selected_nd1,800,151.10,0.17,4.9700,3.9497,,24.16,23.86,25.07,24.19,23.88,,,162.32,1,
4a,23,1,selected_nd1,900,151.26,0.19,4.9686,3.9510,,24.55,24.25,25.57,24.60,24.22,,,162.32,1,
4a,24,1,selected_nd1,1000,151.24,0.22,4.9696,3.9523,,24.77,24.46,26.06,25.00,24.56,,,162.32,1,
4a,25,1,selected_nd1,1100,151.85,0.20,4.9721,3.9548,,24.90,24.59,26.35,25.21,24.71,,,162.32,1,
4a,26,1,selected_nd1,1200,151.90,0.22,4.9769,3.9559,,24.87,24.57,26.85,25.62,25.06,,,162.32,1,
4a,27,1,selected_nd1,1300,152.58,0.17,4.9829,3.9644,,24.78,24.48,25.88,24.63,24.05,,,162.32,1,
4a,28,1,selected_nd1,1400,152.83,0.22,4.9898,3.9644,,24.61,24.33,26.65,25.31,24.66,,,162.32,1,
4a,29,1,selected_nd1,1500,153.05,0.09,4.9967,3.9664,,24.46,24.19,27.05,25.63,24.93,,,162.32,1,
4a,30,1,selected_nd1,1500,153.05,0.09,5.0001,3.9689,,24.24,23.98,26.53,25.14,24.46,,,162.32,1,
4a,31,1,selected_nd1,1600,153.29,0.05,,3.9698,,,,27.14,25.66,24.92,,,162.32,0,no_nd1_pressure
4a,32,1,selected_nd1,293,150.57,0.15,4.9636,3.9469,,23.13,22.84,21.81,21.42,21.43,,,162.32,1,
4a,33,1,ambient,293,162.32,0.23,5.6402,4.0780,,0.00,0.00,0.00,0.00,0.00,,,162.32,0,normalization_state_not_pressure_residual
4b,1,2,preliminary,1200,151.58,0.15,,,4.0669,,,,,,25.57,25.60,162.33,0,run2_not_used_in_combined_fit
4b,2,2,preliminary,1200,151.76,0.20,,,4.0669,,,,,,25.57,25.60,162.33,0,run2_not_used_in_combined_fit
4b,3,2,preliminary,1220,151.68,0.12,,,4.0672,,,,,,25.64,25.66,162.33,0,run2_not_used_in_combined_fit
