run,pressure_keane_gpa,pressure_keane_uncertainty_gpa,pressure_ap2_gpa,pressure_ap2_uncertainty_gpa,pressure_bm3_gpa,pressure_bm3_uncertainty_gpa,pressure_vinet_gpa,pressure_vinet_uncertainty_gpa,temperature_k,temperature_uncertainty_k,mgsio3_lattice_a_angstrom,mgsio3_lattice_a_uncertainty_angstrom,mgsio3_lattice_b_angstrom,mgsio3_lattice_b_uncertainty_angstrom,mgsio3_lattice_c_angstrom,mgsio3_lattice_c_uncertainty_angstrom,mgsio3_unit_cell_volume_a3,mgsio3_unit_cell_volume_uncertainty_a3,mgo_lattice_a_angstrom,mgo_lattice_a_uncertainty_angstrom,mgo_unit_cell_volume_a3,mgo_unit_cell_volume_uncertainty_a3
PP01_026b,224.2,1.8,226.6,1.8,231.6,2.1,222.3,1.9,300,,2.3654,0.0006,7.6813,0.0019,5.8894,0.0014,107.01,0.10,3.568,0.001,45.41,0.09
PP01_029,229.4,1.3,232.0,1.4,237.2,1.7,227.4,1.6,300,,2.3632,0.0011,7.6643,0.0046,5.8853,0.0031,106.60,0.23,3.561,0.001,45.14,0.07
PP01_034,245.3,1.5,248.1,1.5,254.4,1.9,242.8,1.7,300,,2.3570,0.0006,7.6315,0.0021,5.8595,0.0017,105.40,0.11,3.541,0.001,44.39,0.07
PP01_037,249.5,2.0,252.5,2.0,259.0,2.4,246.9,2.2,300,,2.3528,0.0011,7.6041,0.0026,5.8559,0.0025,104.77,0.16,3.535,0.001,44.19,0.09
PP01_041,264.6,1.2,267.8,1.2,275.3,1.8,261.5,1.6,300,,2.3386,0.0016,7.5629,0.0053,5.8191,0.0038,102.92,0.27,3.518,0.001,43.53,0.05
PP02_010,135.5,0.9,136.2,0.9,136.5,1.7,135.6,1.7,1670,30,2.4604,0.0007,8.0530,0.0020,6.1070,0.0018,121.00,0.12,3.729,0.001,51.83,0.06
PP02_032,164.1,0.8,165.3,0.8,166.4,1.8,163.9,1.8,1680,30,2.4302,0.0005,7.9339,0.0017,6.0393,0.0013,116.45,0.09,3.674,0.001,49.60,0.04
PP02_020,147.2,0.6,148.0,0.6,148.6,1.6,147.1,1.8,1760,30,2.4489,0.0005,8.0015,0.0016,6.0775,0.0014,119.09,0.09,3.7067,0.0004,50.93,0.03
PP02_027,155.4,0.7,156.4,0.7,157.1,1.7,155.3,1.9,1780,30,2.4392,0.0005,7.9687,0.0014,6.0594,0.0013,117.78,0.09,3.692,0.000,50.31,0.03
PP02_009,137.7,1.1,138.3,1.1,138.4,2.0,137.8,2.0,2050,70,2.4613,0.0007,8.0548,0.0020,6.1092,0.0018,121.12,0.12,3.730,0.001,51.90,0.05
PP02_026,156.6,0.8,157.6,0.9,158.1,2.0,156.6,2.2,2080,50,2.4404,0.0006,7.9735,0.0017,6.0614,0.0013,117.95,0.10,3.694,0.001,50.39,0.03
PP02_019,149.2,0.6,150.0,0.6,150.3,1.9,149.2,2.1,2090,40,2.4498,0.0006,8.0030,0.0017,6.0787,0.0015,119.18,0.10,3.7079,0.0003,50.98,0.02
PP02_031,166.5,1.0,167.6,1.0,168.3,2.2,166.4,2.3,2110,50,2.4326,0.0004,7.9330,0.0012,6.0431,0.0007,116.62,0.06,3.676,0.001,49.68,0.04
PP02_014,145.5,0.5,146.2,0.5,146.4,1.9,145.6,2.2,2180,50,2.4538,0.0007,8.0250,0.0021,6.0918,0.0019,119.96,0.12,3.7164,0.0001,51.33,0.01
PP02_003,126.9,1.1,127.3,1.1,127.0,2.1,127.1,2.2,2280,40,2.4760,0.0003,8.1124,0.0010,6.1400,0.0007,123.33,0.05,3.757,0.001,53.03,0.07
PP02_013,147.7,0.6,148.4,0.6,148.3,2.2,147.9,2.6,2530,70,2.4543,0.0005,8.0282,0.0015,6.0942,0.0013,120.07,0.09,3.71751,0.00004,51.376,0.002
PP02_030,169.9,1.5,170.9,1.5,171.4,2.8,169.9,2.8,2560,90,2.4325,0.0006,7.9302,0.0018,6.0448,0.0011,116.60,0.09,3.677,0.001,49.70,0.05
PP02_018,152.7,0.8,153.5,0.8,153.4,2.4,152.9,2.7,2600,70,2.4503,0.0005,8.0059,0.0016,6.0800,0.0014,119.27,0.10,3.7088,0.0003,51.02,0.02
PP02_025,161.4,0.6,162.3,0.6,162.5,2.4,161.5,2.8,2610,40,2.4407,0.0005,7.9718,0.0015,6.0602,0.0011,117.91,0.08,3.6925,0.0004,50.35,0.02
PP02_005,133.0,0.8,133.4,0.8,133.0,2.3,133.3,2.6,2670,60,2.4729,0.0006,8.0939,0.0019,6.1336,0.0017,122.77,0.11,3.7502,0.0005,52.74,0.03
PP02_022,154.1,1.0,154.9,1.0,154.9,2.5,154.3,2.8,2670,100,2.4491,0.0004,8.0004,0.0013,6.0785,0.0012,119.10,0.08,3.7071,0.0002,50.95,0.01
PP02_008,140.8,1.4,141.3,1.4,141.0,2.6,141.0,2.7,2710,90,2.4640,0.0005,8.0630,0.0015,6.1141,0.0014,121.47,0.09,3.7344,0.0009,52.08,0.06
