volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.74,121.5524,121.52,3000,143.121206780805,144.2
0.74,121.5524,121.52,3500,147.067111886181,148.2
0.74,121.5524,121.52,4000,151.0203796045,152.3
0.74,121.5524,121.52,4500,154.97856480015,156.3
0.74,121.5524,121.52,5000,158.940196201864,160.4
0.73,119.9098,119.88,300,132.457164814666,133.9
0.73,119.9098,119.88,1000,136.882058636167,138
0.73,119.9098,119.88,1500,140.674333491021,141.8
0.73,119.9098,119.88,2000,144.568377577258,145.8
0.73,119.9098,119.88,2500,148.504343730604,149.8
0.73,119.9098,119.88,3000,152.461520954902,153.8
0.73,119.9098,119.88,3500,156.43088978879,157.8
0.73,119.9098,119.88,4000,160.407903011529,161.9
0.73,119.9098,119.88,4500,164.390022294521,165.9
0.73,119.9098,119.88,5000,168.375720123728,170
0.72,118.2672,118.24,300,142.252758915214,144
0.72,118.2672,118.24,1000,146.676632161691,148.1
0.72,118.2672,118.24,1500,150.487052821103,151.9
0.72,118.2672,118.24,2000,154.403009819693,155.9
0.72,118.2672,118.24,2500,158.362482329759,159.9
0.72,118.2672,118.24,3000,162.343981166591,163.9
0.72,118.2672,118.24,3500,166.338142903037,168
0.72,118.2672,118.24,4000,170.340245525507,172.1
0.72,118.2672,118.24,4500,174.347652669572,176.1
0.72,118.2672,118.24,5000,178.35877764459,180.2
0.71,116.6246,116.6,300,152.618982401387,154.7
0.71,116.6246,116.6,1000,157.042269588556,158.8
0.71,116.6246,116.6,1500,160.871873993772,162.6
0.71,116.6246,116.6,2000,164.810970447215,166.6
0.71,116.6246,116.6,2500,168.795258298778,170.6
0.71,116.6246,116.6,3000,172.802430501754,174.7
0.71,116.6246,116.6,3500,176.82276179751,178.8
0.71,116.6246,116.6,4000,180.851346209967,182.9
0.71,116.6246,116.6,4500,184.885444165027,187
0.71,116.6246,116.6,5000,188.923406660234,191.1
0.7,114.982,114.96,300,163.592105554278,166.1
0.7,114.982,114.96,1000,168.015229246569,170.2
0.7,114.982,114.96,1500,171.865082803272,174
0.7,114.982,114.96,2000,175.8285850475,178
0.7,114.982,114.96,2500,179.839042608504,182
0.7,114.982,114.96,3000,183.873288259015,186.1
0.7,114.982,114.96,3500,187.921215826946,190.2
0.7,114.982,114.96,4000,191.97772557287,194.3
0.7,114.982,114.96,4500,196.039969180628,198.5
0.7,114.982,114.96,5000,200.106231982526,202.6
0.69,113.3394,113.31,300,175.21120369208,178.1
0.69,113.3394,113.31,1000,179.634572971956,182.2
0.69,113.3394,113.31,1500,183.505769476598,186.1
0.69,113.3394,113.31,2000,187.494985538223,190.1
0.69,113.3394,113.31,2500,191.533014916893,194.2
0.69,113.3394,113.31,3000,195.595785027867,198.3
0.69,113.3394,113.31,3500,199.672788386848,202.4
0.69,113.3394,113.31,4000,203.758721006111,206.5
0.69,113.3394,113.31,4500,207.850619906237,210.7
0.69,113.3394,113.31,5000,211.946701164134,214.8
0.68,111.6968,111.67,300,187.518417124692,191
0.68,111.6968,111.67,1000,191.942425919467,195.1
0.68,111.6968,111.67,1500,195.836088504177,198.9
0.68,111.6968,111.67,2000,199.852370105395,203
0.68,111.6968,111.67,2500,203.919423659456,207.1
0.68,111.6968,111.67,3000,208.01222295561,211.2
0.68,111.6968,111.67,3500,212.119837371501,215.3
0.68,111.6968,111.67,4000,216.236747443993,219.5
0.68,111.6968,111.67,4500,220.359869187117,223.7
0.68,111.6968,111.67,5000,224.487345575132,227.9
0.67,110.0542,110.03,300,200.559239396192,204.6
0.67,110.0542,110.03,1000,204.984264648656,208.7
0.67,110.0542,110.03,1500,208.901546741945,212.6
0.67,110.0542,110.03,2000,212.946291419648,216.6
0.67,110.0542,110.03,2500,217.043874429219,220.8
0.67,110.0542,110.03,3000,221.168264318105,224.9
0.67,110.0542,110.03,3500,225.308083951812,229.1
0.67,110.0542,110.03,4000,229.457586358617,233.3
0.67,110.0542,110.03,4500,233.613559743987,237.5
0.67,110.0542,110.03,5000,237.774069852741,241.7
0.66,108.4116,108.39,300,214.382837368052,219.2
0.66,108.4116,108.39,1000,218.809237035872,223.2
0.66,108.4116,108.39,1500,222.751323335613,227.1
0.66,108.4116,108.39,2000,226.825976681633,231.2
0.66,108.4116,108.39,2500,230.95565019826,235.3
0.66,108.4116,108.39,3000,235.113251947786,239.5
0.66,108.4116,108.39,3500,239.286933227976,243.7
0.66,108.4116,108.39,4000,243.470706648919,248
0.66,108.4116,108.39,4500,247.661225306373,252.2
0.66,108.4116,108.39,5000,251.856473284634,256.4
0.65,106.769,106.74,300,229.042407203859,234.6
0.65,106.769,106.74,1000,233.470518071326,238.7
0.65,106.769,106.74,1500,237.4386255256,242.6
0.65,106.769,106.74,2000,241.544683555343,246.7
0.65,106.769,106.74,2500,245.708067440789,250.9
0.65,106.769,106.74,3000,249.900565580334,255.1
