source_table,source_row,source_reference_as_published,data_class,dynamic_path,pressure_gpa_raw,pressure_uncertainty_gpa_raw,pressure_calibrant,pressure_gpa_fit,pressure_uncertainty_gpa_fit,pressure_scale,pressure_correction_applied,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,temperature_k,temperature_uncertainty_k,temperature_provenance,fit1_observed_minus_model_gpa,fit2_observed_minus_model_gpa,fit5_observed_minus_model_gpa,source_cell_note,used_in_fit
Table S1,44,Huang et al. (1987),static_experiment,,16.8,0.01,Au,18.15644786,0.120241377,Fei et al. (2007),1,6.39600017,0.00540596,21.24161631187113,0.017953615551158254,723.0,0.0,experimental_reported,4.20167960505912,4.26733132661126,4.41465298025107,,1
Table S1,45,Huang et al. (1987),static_experiment,,16.9,0.01,Au,18.15644786,0.120241377,Fei et al. (2007),1,6.37700105,0.00549325,21.17851874986728,0.018243512461505466,723.0,0.0,experimental_reported,3.54192476163909,3.60743946934106,3.82256973368088,,1
Table S1,46,Huang et al. (1987),static_experiment,,17.0,0.01,Au,18.55033109,0.111748982,Fei et al. (2007),1,6.2940003,0.00538489,20.902866773907824,0.01788364043486755,573.0,0.0,experimental_reported,2.17239762958613,2.24042453738043,3.09821104139324,,1
Table S1,47,Huang et al. (1987),static_experiment,,17.2,0.01,Au,18.55033109,0.111748982,Fei et al. (2007),1,6.25599905,0.0053879,20.77666165345494,0.01789363688005194,573.0,0.0,experimental_reported,0.708697749498047,0.776516874150342,1.75953213374137,,1
Table S1,48,Huang et al. (1987),static_experiment,,17.2,0.01,Au,18.64393822,0.104741226,Fei et al. (2007),1,6.22800003,0.00524041,20.683674720349778,0.017403811066016996,423.0,0.0,experimental_reported,0.739026158306746,0.810728372100794,2.2371545478509,,1
Table S1,49,Huang et al. (1987),static_experiment,,17.2,0.01,Au,19.15419451,0.111361596,Fei et al. (2007),1,6.26600128,0.00539693,20.809879840802658,0.017923626215605098,573.0,0.0,experimental_reported,1.70257094093194,1.77044418217829,2.72071149916693,,1
Table S1,50,Huang et al. (1987),static_experiment,,17.4,0.01,Au,19.36607008,0.118810246,Fei et al. (2007),1,6.38600095,0.00540897,21.208408120968596,0.01796361199634264,723.0,0.0,experimental_reported,5.06544087883394,5.13102037529298,5.31408290420698,,1
Table S1,51,Huang et al. (1987),static_experiment,,17.4,0.01,Au,19.73168239,0.099654962,Fei et al. (2007),1,6.18099888,0.00525546,20.527580228795582,0.01745379329193893,298.0,0.0,experimental_reported,0.498823037889714,0.574158118016772,2.41850989807545,,1
Table S1,52,Huang et al. (1987),static_experiment,,17.8,0.01,Au,19.73168239,0.099654962,Fei et al. (2007),1,6.14899957,0.00530663,20.421308020040367,0.017623732860073498,298.0,0.0,experimental_reported,-0.880184682249077,-0.804973244556798,1.12881792034808,,1
Table S1,53,Huang et al. (1987),static_experiment,,18.1,0.01,Au,19.86883373,0.118266867,Fei et al. (2007),1,6.36099989,0.00539994,21.125377647267083,0.017933622660789482,723.0,0.0,experimental_reported,4.69008597261404,4.75548602682423,5.02738752943286,,1
