pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,nacl_molar_volume_cm3_mol,nacl_molar_volume_uncertainty_cm3_mol,iron_molar_volume_cm3_mol,iron_molar_volume_uncertainty_cm3_mol,iron_c_over_a,iron_c_over_a_uncertainty,b1_feo_molar_volume_cm3_mol,b1_feo_molar_volume_uncertainty_cm3_mol,b8_feo_molar_volume_cm3_mol,b8_feo_molar_volume_uncertainty_cm3_mol,b8_feo_c_over_a,b8_feo_c_over_a_uncertainty,b1_observation,b8_observation
106.827304736,0.297005875812,1331.11,104.961764943,12.3310359014,0.0202740786049,5.06877279034,0.00321563974103,1.60666413853,0.000679513992579,8.55680428277,0.00908142785089,,,,,measured,detected_one_peak_no_volume
107.423134334,0.316328004404,1414.53,105.774197704,12.3325431525,0.024274418811,5.07002628355,0.00384434269649,1.60695361381,0.000812314051694,8.55988875029,0.00941938231735,,,,,measured,detected_one_peak_no_volume
107.651347577,0.408602271736,1417.44,105.803561377,12.3560653513,0.0349797301727,5.06829381706,0.00884878105374,1.60345521895,0.00186632486514,8.57963213517,0.0177056928506,,,,,measured,detected_one_peak_no_volume
107.837012499,0.326990418784,1495.04,106.611639139,12.3726560929,0.0253967069193,5.07268846484,0.00379474936803,1.6064639092,0.000801169891986,8.56857548496,0.00871042884314,,,,,measured,detected_one_peak_no_volume
108.29115198,0.806856286903,1897.59,111.540791193,12.3797099319,0.0296902272417,5.10119104867,0.0222341248494,1.60895232213,0.00467520185851,8.57348080683,0.00779789280353,,,,,measured,detected_one_peak_no_volume
108.54074054,0.37629450365,1623.08,108.048352139,12.3032797067,0.0521219163654,5.07667462458,0.00597192169447,1.60542148446,0.00125901987696,8.57442174107,0.0149530253847,,,,,measured,detected_one_peak_no_volume
109.297761483,0.354482708232,1727.84,109.316538547,12.2400111003,0.0596687339426,5.07849976653,0.00313679081431,1.60858074014,0.000662371634894,8.57185927551,0.00794520480063,,,,,measured,detected_one_peak_no_volume
109.780100005,0.907818835362,2088.68,114.281680072,12.3620463248,0.0589386215396,5.10422496701,0.0252130190301,1.60931449323,0.00529961972097,8.57706735139,0.0146652489384,,,,,measured,detected_one_peak_no_volume
126.969514124,0.488146486791,300,0,11.6265789697,0.017001537506,4.84942174961,0.0151809645633,1.59701962082,0.00333294696734,,,,,,,not_reported,detected_one_peak_no_volume
128.598753192,0.646341661294,1332.08,104.970883582,11.6739950153,0.0132410357718,4.89718259485,0.0178328670393,1.61267608749,0.00391499094136,8.24682063527,0.00639538041075,,,,,measured,detected_one_peak_no_volume
