plot_order,series_order,temperature_k,pressure_gpa,volume_a3_conventional_cell,plot_x_pt,plot_y_pt,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,source_series,source_marker,used_in_reconstructed_fit
17,17,300,22.634289232,53.638520797,377.844513,121.272982,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
18,18,300,24.748553264,53.357808005,380.749512,124.970980,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
19,19,300,26.126264225,53.097207681,382.642487,128.404025,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
20,20,300,28.048405215,52.916774608,385.283509,130.780978,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
21,21,300,29.906468184,52.679441032,387.836487,133.907516,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
22,22,300,31.252173439,52.455624109,389.685486,136.855990,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
23,23,300,33.174314436,52.271845908,392.326508,139.277011,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
24,24,300,35.321317122,52.044650536,395.276490,142.269992,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
25,25,300,36.987257056,51.847436223,397.565491,144.868014,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
26,26,300,38.300956612,51.660322160,399.370514,147.332980,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
27,27,300,40.094985972,51.509944279,401.835511,149.313998,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
28,28,300,42.017104756,51.346247003,404.476502,151.470480,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
29,29,300,43.074603250,51.169149792,405.929505,153.803488,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
30,30,300,44.676487362,51.042150744,408.130494,155.476523,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
31,31,300,46.085515491,50.888435222,410.066498,157.501510,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
32,32,300,47.495276554,50.758100311,412.003510,159.218490,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
33,33,300,48.969071241,50.637820207,414.028504,160.803012,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
34,34,300,50.346440531,50.510863745,415.921009,162.475485,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
35,35,300,51.788207307,50.403905889,417.901997,163.884505,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
36,36,300,53.261655127,50.300328263,419.926514,165.248996,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
37,37,300,54.735449807,50.180048158,421.951508,166.833518,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
38,38,300,56.273300309,50.066413945,424.064515,168.330489,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
39,39,300,57.394832413,49.942793346,425.605500,169.959018,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
40,40,300,59.220889683,49.839215717,428.114502,171.323508,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
41,41,300,60.566594938,49.718900514,429.963501,172.908492,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
42,42,300,62.168479050,49.591901465,432.164490,174.581527,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
43,43,300,63.482178606,49.444906666,433.969513,176.517978,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
44,44,300,63.994536314,49.411468392,434.673493,176.958480,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
45,45,300,65.532386823,49.327967057,436.786499,178.058493,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
46,46,300,67.326416175,49.231030687,439.251496,179.335494,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
47,47,300,67.742712369,49.130831509,439.823487,180.655478,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
48,48,300,68.832238781,49.087333795,441.320496,181.228500,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
49,49,300,69.601166623,49.023873653,442.377003,182.064498,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
50,50,300,70.498178701,48.957074793,443.609498,182.944480,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
