material_identifier,material_name,formula,represented_phase_or_polymorph,phase_identity_source,symmetry,space_group,formula_units_per_cell,equation_kinds,eos_record_count,input_file
seifertite,Seifertite,SiO2,Seifertite,material name plus crystal structure,ORTHORHOMBIC,Pbcn,4,thermal,1,peritheos/data/materials/seifertite.eosmat
silica_cacl2,Silica (CaCl2-type),SiO2,Silica (CaCl2-type),material name plus crystal structure,ORTHORHOMBIC,Pnnm,2,thermal,1,peritheos/data/materials/silica_cacl2.eosmat
silicon,"Silicon (Si-I, diamond cubic)",Si,"Silicon (Si-I, diamond cubic)",material name plus crystal structure,CUBIC,Fd-3m,8,isothermal,1,peritheos/data/materials/silicon.eosmat
silicon_carbide_b1,Silicon carbide (B1 rock salt),SiC,Silicon carbide (B1 rock salt),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/silicon_carbide_b1.eosmat
silicon_carbide_b3,Silicon carbide (B3 zinc blende),SiC,Silicon carbide (B3 zinc blende),material name plus crystal structure,CUBIC,F-43m,4,isothermal,1,peritheos/data/materials/silicon_carbide_b3.eosmat
silicon_v,"Silicon (Si-V, simple hexagonal)",Si,"Silicon (Si-V, simple hexagonal)",material name plus crystal structure,HEXAGONAL,P6/mmm,1,isothermal,1,peritheos/data/materials/silicon_v.eosmat
silicon_vii,"Silicon (Si-VII, hcp)",Si,"Silicon (Si-VII, hcp)",material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/silicon_vii.eosmat
silicon_x,"Silicon (Si-X, fcc)",Si,"Silicon (Si-X, fcc)",material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/silicon_x.eosmat
silver,Silver,Ag,Silver,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal;thermal,2,peritheos/data/materials/silver.eosmat
sio2_stv_andr,SiO2 stishovite,SiO2,SiO2 stishovite,material name plus crystal structure,TETRAGONAL,P42/mnm,2,isothermal;thermal,2,peritheos/data/materials/sio2_stv_andr.eosmat
sno2,SnO2,SnO2,SnO2,material name plus crystal structure,TETRAGONAL,P42/mnm,2,isothermal,1,peritheos/data/materials/sno2.eosmat
sno2_cubic_27gpa,SnO2 Pa-3 (26.6 GPa pattern),SnO2,high-pressure cubic Pa-3 SnO2,top-level phase field,CUBIC,Pa-3,4,isothermal,1,peritheos/data/materials/sno2_cubic_27gpa.eosmat
sno2_pa_3_at_48gpa,SnO2_Pa-3 at 48GPa,SnO2,high-pressure cubic Pa-3 SnO2,top-level phase field,CUBIC,Pa-3,4,isothermal,1,peritheos/data/materials/sno2_pa_3_at_48gpa.eosmat
sro,SrO (B1),SrO,"B1 (NaCl-type), cubic Fm-3m",top-level phase field,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/sro.eosmat
sro_b2,SrO (B2),SrO,"B2 (CsCl-type), cubic Pm-3m",top-level phase field,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/sro_b2.eosmat
tantalum,Tantalum,Ta,Tantalum,material name plus crystal structure,CUBIC,Im-3m,2,isothermal;thermal,3,peritheos/data/materials/tantalum.eosmat
titanium_alpha,Titanium (alpha),Ti,Titanium (alpha),material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/titanium_alpha.eosmat
titanium_omega,Titanium (omega),Ti,Titanium (omega),material name plus crystal structure,HEXAGONAL,P6/mmm,3,isothermal,1,peritheos/data/materials/titanium_omega.eosmat
tungsten,Tungsten,W,Tungsten,material name plus crystal structure,CUBIC,Im-3m,2,isothermal;thermal,3,peritheos/data/materials/tungsten.eosmat
wadsleyite,Wadsleyite,Mg2SiO4,Wadsleyite,material name plus crystal structure,ORTHORHOMBIC,Imma,8,thermal,1,peritheos/data/materials/wadsleyite.eosmat
zinc_oxide_rocksalt,Zinc oxide (rocksalt B1),ZnO,Zinc oxide (rocksalt B1),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/zinc_oxide_rocksalt.eosmat
zinc_oxide_wurtzite,Zinc oxide (wurtzite B4),ZnO,Zinc oxide (wurtzite B4),material name plus crystal structure,HEXAGONAL,P63mc,2,isothermal,1,peritheos/data/materials/zinc_oxide_wurtzite.eosmat
zircon,Zircon,ZrSiO4,Zircon,material name plus crystal structure,TETRAGONAL,I41/amd,4,isothermal,1,peritheos/data/materials/zircon.eosmat
zirconium_alpha,Zirconium (alpha),Zr,Zirconium (alpha),material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/zirconium_alpha.eosmat
zirconium_beta,Zirconium (beta),Zr,Zirconium (beta),material name plus crystal structure,CUBIC,Im-3m,2,isothermal,1,peritheos/data/materials/zirconium_beta.eosmat
zirconium_omega,Zirconium (omega),Zr,Zirconium (omega),material name plus crystal structure,HEXAGONAL,P6/mmm,3,isothermal,1,peritheos/data/materials/zirconium_omega.eosmat
